solution_id,disease_id,disease_name,remedy,treatment,precaution,prevention 
SOL1,D001,Rice Blast,Remove heavily infected plant parts and maintain balanced crop nutrition,Biowell organic fungicide Bio Trooper 500 ml for disease control in the crop.,Avoid excessive nitrogen and prolonged leaf wetness,Use healthy seed and resistant varieties where available
SOL2,D002,Rice Brown Spot,Remove infected crop residues and improve crop nutrition,"Use clean, certified seeds and treat them with appropriate fungicides before planting.",Avoid nutrient deficiency and excessive crop stress,
SOL3,D003,Bacterial Leaf Blight,Remove severely affected plant material, Immerse the seeds in 2.5 gm streptocycline and 25 gm copper oxychloride solution for 12 hours before sowing.,Avoid excessive nitrogen and unnecessary movement of water between infected fields,
SOL4,D004,Potato Early Blight,Remove infected leaves and plant debris,"spray Luna Tranquility Fungicide or products containing Fluopyram or Difenoconazole, apply liquid copper preventatively, use neem oil spray or baking soda solution",Avoid prolonged leaf wetness and plant stress,
SOL5,D005,Potato Late Blight,Remove severely infected plant material and avoid spreading infected tubers,spray Ridomil Gold or Revus Fungicide. Apply fixed copper or Bordeaux mixture before rainy periods. ,Avoid excessive moisture and prolonged leaf wetness,
SOL6,D006,Black Scurf & Stem Canker,Remove infected plants and tubers from the field,treat with streptocycline(100 ppm) combined with copper sulphate(40 ppm) for 30 mins. ,Avoid planting damaged or visibly infected tubers,
SOL7,D007,Tomato Early Blight,Remove infected leaves and plant debris,Apply combination systemic fungicides like Noriko T3  by Parijat or Katyayani Dr. Zole Fungicide. Use microbial solutions like Multiplex Bio-Jodi or Vijaya PBT.  ,Avoid overhead irrigation and prolonged leaf wetness,
SOL8,D008,Tomato Late Blight,Remove infected leaves and fruits and dispose of them safely,Apply combination systemic fungicides like Noriko T3  by Parijat or Katyayani Dr. Zole Fungicide. Use microbial solutions like Multiplex Bio-Jodi or Vijaya PBT.  ,Avoid prolonged leaf wetness and excessive humidity around plants,
SOL9,D009,Septoria Leaf Spot,Remove severely infected plant material,"Copper+ Mancozeb tank mix, Streptocycline or Kasugamycin as a foliar spray. ",Avoid working with wet plants because bacteria can spread easily,
SOL10,D010,Cotton Bollworm,Remove badly damaged plant parts where practical and monitor the crop regularly,"Apply Chlorantraniliprole 18.5% SC  at the first sign of egg-laying or flare-up, and Emamectin Benzoate 5% SG for rapid knockdown of larvae. Microbial solution NPV",Avoid unnecessary pesticide use and follow label directions,
SOL11,D011,Cotton Leaf Curl,Remove severely affected plants where recommended and control the insect vector,"Cyantraniliprole 10% OD,  Pyriproxyfen 10.8% EC or Buprofezin to break the reproductive cycle. ",Monitor for whiteflies and avoid unnecessary insecticide applications,
SOL12,D012,Fusarium Wilt,Remove severely affected plants and infected residue,Fungicides like Carbendazim 50% WP at 2 grms per liter of water. Prevent initial root entry by treating acid-delinted seeds with Carboxin+ Thiram. ,Avoid moving contaminated soil or plant material between fields,
